model,input_usd_per_million,output_usd_per_million,source_kind,source,note
Claude Fable 5,10.0,50.0,official_provider_documentation,https://platform.claude.com/docs/en/about-claude/pricing,Standard Claude API rate; Anthropic output does not separate Fable 5 adaptive-thinking tokens.
Claude Haiku 4.5,1.0,5.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,Campaign-configured rate; no extended thinking was requested.
Claude Sonnet 4.5,3.0,15.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,Campaign-configured rate; no extended thinking was requested.
DeepSeek V4 Flash,0.14,0.28,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,Estimate based on the configured standard input rate; unavailable local cache discounts are not applied.
DeepSeek V4 Flash (no thinking),0.14,0.28,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,Thinking disabled; estimate based on the configured standard input rate.
DeepSeek V4 Pro,0.435,0.87,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,Estimate based on the configured standard input rate; unavailable local cache discounts are not applied.
GPT-5.6 Sol,5.0,30.0,official_provider_documentation,https://developers.openai.com/api/docs/models/gpt-5.6-sol,Standard rate below the long-context threshold; panel prompts are far below 272k tokens.
Gemini 3.1 Pro Preview,2.0,12.0,official_provider_documentation,https://ai.google.dev/gemini-api/docs/pricing,Standard rate for prompts up to 200k tokens; the output price includes thinking tokens.
Gemini 3.5 Flash,1.5,9.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,The output price includes thinking tokens.
Gemma 4 31B IT,0.0,0.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,The zero rate was explicitly configured for the campaign and is not a universal model cost.
Grok 4.3,1.25,2.5,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,Selected total cost uses the provider-reported value; the rate is retained for cross-checking.
Grok 4.5,2.0,6.0,benchmark_configuration,benchmark_config_2026_primo_secondo_deepseek_xai.json,Selected total cost uses the provider-reported value; the rate is retained for cross-checking.
OpenAI GPT-4.1,2.0,8.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,The campaign configuration uses no native reasoning mode.
OpenAI o3,2.0,8.0,benchmark_configuration,benchmark_config_2026_primo_secondo_nine_models.json,Reasoning tokens are included in billable output tokens.
