model,provider,rows,input_complete,provider_output_complete,visible_output_complete,reasoning_reported_rows,reasoning_analysis_rows,provider_total_complete,provider_reported_cost_rows,reconstructed_cost_rows,retry_rows,prompt_hash_consistent,token_arithmetic_valid,price_source_kind,cost_limitation
Claude Fable 5,anthropic,60,60,60,0,0,0,60,0,60,2,True,True,official_provider_documentation,provider output combines visible text and hidden thinking
Claude Haiku 4.5,anthropic,60,60,60,60,0,60,60,0,60,0,True,True,benchmark_configuration,none
Claude Sonnet 4.5,anthropic,60,60,60,60,0,60,60,0,60,0,True,True,benchmark_configuration,none
DeepSeek V4 Flash,deepseek,60,60,60,60,60,60,60,0,60,1,True,True,benchmark_configuration,final response only for rows with retry
DeepSeek V4 Flash (no thinking),deepseek,60,60,60,60,0,60,60,0,60,0,True,True,benchmark_configuration,none
DeepSeek V4 Pro,deepseek,60,60,60,60,60,60,60,0,60,0,True,True,benchmark_configuration,none
GPT-5.6 Sol,openai,60,60,60,60,60,60,60,0,60,3,True,True,official_provider_documentation,final response only for rows with retry
Gemini 3.1 Pro Preview,google,60,60,60,60,60,60,60,0,60,10,True,True,official_provider_documentation,final response only for rows with retry
Gemini 3.5 Flash,google,60,60,60,60,60,60,60,0,60,5,True,True,benchmark_configuration,final response only for rows with retry
Gemma 4 31B IT,google,60,60,60,60,0,60,60,0,60,0,True,True,benchmark_configuration,none
Grok 4.3,xai,60,60,60,60,60,60,60,60,0,0,True,True,benchmark_configuration,none
Grok 4.5,xai,60,60,60,60,60,60,60,60,0,0,True,True,benchmark_configuration,none
OpenAI GPT-4.1,openai,60,60,60,60,60,60,60,0,60,0,True,True,benchmark_configuration,none
OpenAI o3,openai,60,60,60,60,60,60,60,0,60,1,True,True,benchmark_configuration,final response only for rows with retry
